school id,school type,alevel math,olevel math,chem,phy,bio,english,ap course,cs ig,adv math,international student,transferred courses,major,specialization,cgpa,credit hours completed
EIBS,IG,0,65,35,35,35,65,0,0,0,0,0,BUS,BUS,1.71,57
DAIS,American,95,99,96,93,0,98,0,0,1,0,0,ENG,SDE,1.69,68
EBIS,IG,45,75,65,75,35,65,0,0,1,0,0,BUS,BUS,2.2,87
CIS,IG,75,65,75,75,75,75,0,0,1,0,0,BUS,BUS,1.76,54
BKS,American,87,87,0,94,0,90,0,0,1,0,0,BUS,BUS,2,53
CBS,IG,0,75,65,65,0,65,0,0,0,0,0,ENG,SDE,1.63,63
WSD,IG,65,85,95,85,0,95,0,1,1,0,0,CS,CS,4.12,110
RLS,IG,65,85,75,75,0,75,0,0,1,0,0,BUS,FINC,1.66,58
EBIS,IG,0,85,85,65,76,65,0,0,0,0,0,CS,CS,2.02,70
ECD,American,0,65,0,55,0,80,0,0,0,0,3,BUS,ENTS,3.74,105
EBIS,IG,0,0,0,0,0,65,0,0,0,0,0,BUS,MKTG,1.95,60
ISCM,IG,0,75,65,75,0,85,0,1,0,0,0,BUS,FINC,2.89,106
LFC,French Bac.,0,55,75,75,0,75,0,0,0,0,0,BUS,BUS,2.54,102
AGS,Canadian ,0,80,32,36,55,60,0,0,0,0,0,BUS,BUS,3.03,84
DAIS,American,97,98,97,94,97,98,0,0,1,0,0,BUS,FINC,3.53,114
MAC,American,0,82,82,0,79,82,0,0,0,0,0,BUS,BUS,1.91,84
GPIS,IB,0,70,0,0,70,85,0,0,0,0,0,BUS ,MKTG,3.57,106
ELSM,IG,0,75,75,,55,75,0,0,0,0,0,BUS,MKTG,2.33,105
NAC,American,81,84,67,0,67,74,1,0,1,0,0,BUS,BUS,2.62,102
LFC,French Bac.,0,55,0,55,0,75,0,0,0,0,0,CS,CS,2.06,51
BCCIS,American,62,50,0,0,70,61,0,0,1,1,0,BUS,BUS,2.02,39
PISOD,American,0,85,65,76,92,88,1,0,0,1,0,CS,CS,3.88,109
MAC,American,94,94,94,94,94,94,0,0,1,1,0,CS,CS,3.97,103
AIS,IB,0,75,0,60,65,75,0,0,0,0,2,BUS,MKTG,3.26,105
EBIS,IG,45,65,75,65,65,85,0,0,1,0,0,BUS,BUS,2.8,73
GPIS,American,0,93,87,83,93,82,0,0,0,0,0,BUS,MKTG,3.22,105
SJ,Thanaweya,0,0,85,85,85,85,0,0,0,0,0,CS,CS,2.21,94
NIS,American,0,94,95,87,85,91,0,0,0,0,0,BUS,BUS,4.09,105
NGIS,American,84,87,0,0,89,83,0,0,1,0,0,BUS,BUS,2.37,105
NAC,American,0,71,73,0,65,67,0,0,0,0,0,BUS,BUS,1.93,36
MIS,Thanaweya,0,65,85,75,0,85,0,0,0,0,0,CS,CS,2.02,91
ELS,American,0,60,0,0,61,82,0,0,0,0,0,BUS,MKTG,1.91,48
RIS,IG,65,85,85,85,0,65,0,0,1,0,0,ENG,SDE,1.87,63
OIS,American,0,50,69,51,78,94,0,0,0,0,0,BUS,MKTG,2.76,84
EBIS,IG,0,75,75,0,65,75,0,0,0,0,0,BUS,MKTG,3.3,108
ACIS,American,84,88,95,0,88,98,0,0,1,1,0,BUS,MKTG,3.28,102
ISE,American,0,76,89,86,89,65,0,0,0,1,0,ENG,SDE,1.41,38
TGS,NECO,0,77,52,52,57,65,0,0,0,0,13,ENG,SDE,3.95,126
CIC,Canadian ,0,72,80,81,0,76,0,1,0,0,0,ENG,SDE,2.08,72
EBIS,IG,0,75,0,95,0,75,0,0,0,1,0,BUS,FINC,3.64,105
CBS,IG,85,85,95,95,95,85,0,0,1,0,0,ENG,SDE,3.62,120
TBS,IG,0,70,65,65,75,75,0,0,0,0,0,BUS,BUS,1.81,57
EMS,IG,42,75,85,85,85,75,0,0,1,0,0,BUS,MKTG,3.53,105
ISCD,American,0,60,68,62,0,61,1,0,0,0,0,CS,CS,2.16,33
KIS,IG,0,75,45,65,0,55,0,1,0,0,0,BUS,FINC,2.11,84
BIS,IG,0,75,65,55,65,65,0,0,0,0,0,BUS,MKTG,2.37,108
EBIS,IG,0,75,55,65,35,75,0,0,0,0,0,BUS,MKTG,2.61,105
EBIS,IG,0,65,65,75,0,70,0,0,0,0,0,BUS,FINC,3.88,105
NWIS,IG,0,75,75,75,65,45,0,0,0,0,0,BUS,MKTG,3.25,105
NIS,IG,55,75,75,95,75,75,0,0,1,0,0,ENG,SDE,3.3,96
DAIS,American,90,86,93,86,86,93,0,0,1,0,0,BUS,ENTS,3.32,105
EBIS,IG,0,65,0,45,0,55,0,0,0,0,0,BUS,MKTG,2.96,81
BSC,IG,0,65,65,65,55,75,0,0,0,0,0,BUS,MKTG,2.53,96
RIS,IG,45,85,75,75,45,75,0,0,1,0,0,ENG,SDE,2.4,69
SLS,IG,0,75,65,65,0,75,0,0,0,0,0,BUS,BUS,2.07,72
NRC,Thanaweya,0,65,50,65,0,85,0,0,0,0,0,BUS,MKTG,2.65,75
OWN,IG,0,65,75,45,0,65,0,0,0,0,0,BUS,FINC,1.68,48
BSC,IG,0,75,65,65,0,0,0,0,0,0,0,BUS,MKTG,1.75,57
ACIC,American,0,76,66,0,69,79,0,0,0,0,0,BUS,MKTG,2.24,69
TASY,American,0,51,65,65,70,70,0,0,0,1,0,BUS,ENTS,1.98,57
MUA,Thanaweya,0,57,65,50,83,97,0,0,0,1,0,BUS,ENTS,2.52,63
SHS,American,84,0,0,82,0,85,0,0,1,1,0,BUS,BUS,2.69,75
SJAM,Canadian ,0,35,0,0,50,76,0,0,0,0,0,BUS,BUS,3.26,108
EBIS,IG,0,75,65,70,0,65,0,1,0,0,0,BUS,BUS,1.68,39
NCBIS,IG,0,85,85,95,0,75,0,0,0,0,0,BUS,ENTS,3.2,102
PSS,IG,0,65,65,65,45,65,0,0,0,0,0,CS,CS,2,63
APS,Other arabic certificate,0,89,92,91,94,91,0,0,0,1,0,BUS,FINC,3.69,90
BCR,IG,0,75,65,55,45,65,0,1,0,0,0,BUS,MKTG,2.11,75
BIS,IG,0,75,55,65,65,65,0,0,1,0,0,BUS,ENTS,2.49,60
SFS,IG,0,65,65,45,55,70,0,0,0,0,0,BUS,FINC,2.68,84
MES,IG,0,75,65,65,0,75,0,0,0,0,0,BUS,BUS,2.53,90
APS,Other arabic certificate,0,99,96,94,92,95,0,0,0,1,0,BUS,MKTG,3.36,90
ELS,IG,65,85,85,85,65,65,0,0,1,0,0,ENG,SDE,2.65,78
EBIS,IG,0,85,85,85,85,85,0,0,0,0,0,CS,CS,2.2,103
CES,IG,0,55,45,0,0,85,0,1,0,1,0,BUS,MKTG,2.52,108
CBS,IG,0,75,45,65,0,70,0,0,0,0,0,BUS,BUS,2.23,69
EOI,IB,0,70,60,60,60,75,0,0,0,0,0,BUS,MKTG,2.19,108
MIS,American,96,96,98,98,86,99,0,0,1,0,0,CS,CS,2.31,31
RLS,IG,,75,65,65,75,55,,,,0,0,BUS,FINC,2.37,84
BCK,IG,0,70,45,45,65,55,0,0,0,0,0,BUS,ENTS,2.47,45
BSC,IG,0,65,65,0,0,55,0,0,0,0,0,BUS,BUS,1.14,45
SGIS,American,80,0,88,85,0,87,0,0,1,0,0,BUS,BUS,2.16,102
LFC,French Bac.,0,75,75,75,0,90,0,0,0,0,0,CS,CS,2.01,89
ELS,IG,55,85,85,85,0,85,0,0,1,0,0,BUS,MKTG,3.39,108
BIS,IG,0,65,45,55,0,65,0,1,0,0,0,BUS,ENTS,2.79,90
QHIS,American,0,84,100,94,94,99,0,0,0,0,0,CS,CS,1.96,79
RCGS,IG,0,70,70,55,55,70,0,1,0,0,0,BUS,BUS,1.48,44
BSE,IG,0,75,65,0,70,75,0,0,0,0,0,BUS,BUS,1.72,72
KMIS,IG,0,65,85,85,75,75,0,0,0,0,0,BUS,BUS,2.68,66
BCK,IG,0,65,75,65,75,55,0,0,0,0,0,CS,CS,1.43,41
AIS,American,0,75,0,75,75,85,0,0,0,0,0,BUS,ENTS,3.06,108
AIS,American,0,80,0,80,69,70,0,0,0,0,0,BUS,BUS,3.12,90
EIS,IG,0,75,65,65,65,85,0,1,0,0,0,BUS,BUS,3.14,105
ELS,American,100,96,100,100,92,99,0,0,1,0,1,BUS,ENTS,3.43,108
RCGS,IG,0,75,65,65,45,65,0,0,1,0,0,BUS,BUS,2.24,39
MSE,American,87,77,75,80,87,85,0,0,1,0,0,BUS,ENTS,2.1,81
DET,IG,0,85,75,65,55,65,0,0,0,0,0,ENG,SDE,2.32,93
BCJ,IG,0,70,65,55,55,45,0,0,0,0,0,BUS,ENTS,2.64,75
